Textbox9,Textbox12,Textbox14
03/11/2025,01/01/2024,12/31/2024

SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
3775,Fayette,Lexington,"""Office Lounge""","PRO-INVESTMENTS, INC.",1533 Eastland Pkwy,"Lexington, KY 40505",034-RS-0631,Special Sunday Retail Drink License,Active,12/16/2007,12/16/2007,11/30/2025
3775,Fayette,Lexington,"""Office Lounge""","PRO-INVESTMENTS, INC.",1533 Eastland Pkwy,"Lexington, KY 40505",034-NQ4-1023,NQ4 Retail Malt Beverage Drink License,Active,05/13/2013,06/25/2013,11/30/2025
3775,Fayette,Lexington,"""Office Lounge""","PRO-INVESTMENTS, INC.",1533 Eastland Pkwy,"Lexington, KY 40505",034-LD-714,Quota Retail Drink License,Active,03/05/1984,03/05/1984,11/30/2025
38461,Fayette,Lexington,2 Fisted Willies,"Howling at the moon, LLC",388 Woodland Ave,"Lexington, KY 40508",034-SB-205214,Supplemental Bar License,Active,09/05/2024,09/05/2024,11/30/2025
38461,Fayette,Lexington,2 Fisted Willies,"Howling at the moon, LLC",388 Woodland Ave,"Lexington, KY 40508",034-SP-205212,Sampling License,Active,09/05/2024,09/05/2024,11/30/2025
38461,Fayette,Lexington,2 Fisted Willies,"Howling at the moon, LLC",388 Woodland Ave,"Lexington, KY 40508",034-LD-205211,Quota Retail Drink License,Active,09/05/2024,09/05/2024,11/30/2025
38461,Fayette,Lexington,2 Fisted Willies,"Howling at the moon, LLC",388 Woodland Ave,"Lexington, KY 40508",034-RS-205213,Special Sunday Retail Drink License,Active,09/05/2024,09/05/2024,11/30/2025
38461,Fayette,Lexington,2 Fisted Willies,"Howling at the moon, LLC",388 Woodland Ave,"Lexington, KY 40508",034-NQ4-205210,NQ4 Retail Malt Beverage Drink License,Active,09/05/2024,09/05/2024,11/30/2025
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC,167 W Main St,"Lexington, KY 40507",034-RS-4300,Special Sunday Retail Drink License,Active,01/29/2016,01/29/2016,11/30/2025
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC,167 W Main St,"Lexington, KY 40507",034-NQ2-2920,NQ2 Retail Drink License,Active,01/29/2016,01/29/2016,11/30/2025
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC,167 W Main St,"Lexington, KY 40507",034-HI-29,Hotel In-Room License,Active,01/29/2016,01/29/2016,11/30/2025
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC,167 W Main St,"Lexington, KY 40507",034-LNQP-201532,Limited Non Quota Package License,Active,02/01/2024,02/01/2024,11/30/2025
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC,167 W Main St,"Lexington, KY 40507",034-CL-422,Caterer's License,Active,02/24/2016,02/24/2016,11/30/2025
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC,167 W Main St,"Lexington, KY 40507",034-SB-1582,Supplemental Bar License,Active,01/29/2016,01/29/2016,11/30/2025
22790,Fayette,Lexington,21c Museum Hotel Lexington,167 MAIN HOTEL LLC,167 W Main St,"Lexington, KY 40507",034-SP-1576,Sampling License,Active,01/29/2016,01/29/2016,11/30/2025
14719,Fayette,Lexington,3Ten,3TEN LLC,310 W Short St,"Lexington, KY 40507",034-RS-206659,Special Sunday Retail Drink License,Active,12/11/2024,12/11/2024,11/30/2025
14719,Fayette,Lexington,3Ten,3TEN LLC,310 W Short St,"Lexington, KY 40507",034-NQ2-206658,NQ2 Retail Drink License,Active,12/11/2024,12/11/2024,11/30/2025
26561,Fayette,Lexington,A Cup of Common Wealth,A Cup of Common Wealth LLC,105 Eastern Ave,"Lexington, KY 40508",034-RS-202705,Special Sunday Retail Drink License,Active,04/13/2024,04/13/2024,11/30/2025
26561,Fayette,Lexington,A Cup of Common Wealth,A Cup of Common Wealth LLC,105 Eastern Ave,"Lexington, KY 40508",034-NQ4-191200,NQ4 Retail Malt Beverage Drink License,Active,06/28/2022,06/28/2022,11/30/2025
26561,Fayette,Lexington,A Cup of Common Wealth,A Cup of Common Wealth LLC,105 Eastern Ave,"Lexington, KY 40508",034-LD-202704,Quota Retail Drink License,Active,04/13/2024,04/13/2024,11/30/2025
